profile,snr_db,avg_confidence_prob_nsgrand,avg_elapsed_ms_baseline,avg_elapsed_ms_nsgrand,avg_fallback_queries_baseline,avg_fallback_queries_nsgrand,avg_predicted_overflow_prob_nsgrand,avg_primary_queries_baseline,avg_primary_queries_nsgrand,avg_queries_baseline,avg_queries_nsgrand,bler_baseline,bler_nsgrand,fallback_rate_baseline,fallback_rate_nsgrand,query_reduction_pct,bler_delta,latency_reduction_pct
A,-4.0,0.0001108306706252,64.66006984861451,215.0666691019433,0.0,3999.0,0.9998640856643518,2499.0,0.0,2499.0,3999.0,1.0,1.0,0.0,1.0,-60.024009603841534,0.0,-232.61125390904846
A,-2.0,0.000224836490009,57.89507085049991,201.0596643340008,0.0,3999.0,0.9998688125113646,2499.0,0.0,2499.0,3999.0,1.0,1.0,0.0,1.0,-60.024009603841534,0.0,-247.28287120191803
A,0.0,0.0062672776960365,57.77742698621296,200.9462571667488,0.0,3964.161666666667,0.9900594487134368,2494.250833333333,0.6858333333333333,2494.250833333333,3964.8475,0.9966666666666668,0.9925,0.0,0.9916666666666668,-58.959453757156886,-0.004166666666666763,-247.7937105345644
A,2.0,0.2577779735048534,62.446480198462574,174.06889492262658,0.0,2956.478333333333,0.7431388856915676,2217.975,56.6325,2217.975,3013.110833333333,0.855,0.7558333333333334,0.0,0.7508333333333334,-35.84963010553921,-0.09916666666666663,-178.74892927417892
A,4.0,0.7355249689611082,47.92784281523685,77.96182317846008,0.0,1171.0308333333332,0.2933923766455049,1081.905,46.61083333333333,1081.905,1217.6416666666669,0.3908333333333333,0.2891666666666667,0.0,0.3125,-12.546079985457771,-0.10166666666666663,-62.66499512403478
A,6.0,0.8843437129629699,31.25627844921837,40.54420269574621,0.0,549.3716666666667,0.1430170521574219,438.0966666666667,8.131666666666666,438.0966666666667,557.5033333333333,0.16,0.1325,0.0,0.1491666666666666,-27.255780687671663,-0.027499999999999997,-29.71538745925173
C,-4.0,0.0001125885762788,57.66783199532559,202.17251837884157,0.0,3999.0,0.9998628734548888,2499.0,0.0,2499.0,3999.0,1.0,1.0,0.0,1.0,-60.024009603841534,0.0,-250.5810976130144
C,-2.0,0.0002343364840271,58.07215927403983,202.3651846499221,0.0,3999.0,0.9998634538054466,2499.0,0.0,2499.0,3999.0,1.0,1.0,0.0,1.0,-60.024009603841534,0.0,-248.47194796902625
C,0.0,0.0046484102211131,58.68204171810552,204.25061554170196,0.0,3992.335,0.9940643588950236,2499.0,4.780833333333334,2499.0,3997.115833333333,1.0,0.9991666666666666,0.0,0.9983333333333332,-59.94861277844469,-0.0008333333333333526,-248.06323972651293
C,2.0,0.2790643837125147,54.1404243377959,156.04798808424675,0.0,2856.641666666667,0.7260320158509906,2190.901666666666,47.51916666666666,2190.901666666666,2904.1608333333334,0.8433333333333334,0.7208333333333333,0.0,0.7258333333333333,-32.55550796818056,-0.12250000000000005,-188.22823240287812
C,4.0,0.8064602330264946,37.907911554915096,53.06457733822754,0.0,822.3033333333333,0.2153445661160769,858.3808333333334,33.955,858.3808333333334,856.2583333333333,0.2991666666666667,0.2,0.0,0.2333333333333333,0.24726786964217232,-0.09916666666666668,-39.98285624718687
C,6.0,0.920132242582234,22.333113590672536,23.77916735657588,0.0,381.35833333333335,0.1015942543216431,325.51916666666665,11.874166666666667,325.51916666666665,393.2325,0.1158333333333333,0.0933333333333333,0.0,0.1041666666666666,-20.801642504409635,-0.022500000000000006,-6.4749313168195695
E,-4.0,0.0001147889326845,57.3819871594363,200.3288034495199,0.0,3999.0,0.9998635542392732,2499.0,0.0,2499.0,3999.0,1.0,1.0,0.0,1.0,-60.024009603841534,0.0,-249.11444055240673
E,-2.0,0.0002491617959943,58.40797194565918,203.75391565384535,0.0,3999.0,0.9998588308195272,2499.0,0.0,2499.0,3999.0,1.0,1.0,0.0,1.0,-60.024009603841534,0.0,-248.8460716345556
E,0.0,0.0060996778461897,57.817468094314485,202.66616071809645,0.0,3989.0025,0.9922584929317236,2499.0,0.0866666666666666,2499.0,3989.089166666666,1.0,0.9975,0.0,0.9975,-59.62741763372014,-0.0024999999999999467,-250.5275609570073
E,2.0,0.4012133342290568,61.19826213480943,151.54639499392945,0.0,2362.3116666666665,0.5929770342710147,2016.0683333333332,77.41166666666666,2016.0683333333332,2439.7233333333334,0.76,0.605,0.0,0.6066666666666667,-21.013920659104656,-0.15500000000000003,-147.63186029710837
E,4.0,0.9290660835216598,31.637554858874257,21.801242718405167,0.0,252.7108333333333,0.0703798141924426,407.5158333333333,22.374166666666667,407.5158333333333,275.085,0.13,0.0725,0.0,0.0841666666666666,32.497101339620755,-0.05750000000000001,31.09062057528137
E,6.0,0.995962646988531,15.926397140380384,2.338321166680544,0.0,10.259166666666667,0.0037689892638733,22.85333333333333,2.2675,22.85333333333333,12.526666666666667,0.0066666666666666,0.0033333333333333,0.0,0.005,45.186697782963826,-0.0033333333333333,85.31795266644534
