profile,snr_db,avg_elapsed_ms_baseline,avg_elapsed_ms_nsgrand,avg_queries_baseline,avg_queries_nsgrand,bler_baseline,bler_nsgrand,fallback_rate_baseline,fallback_rate_nsgrand,query_reduction_pct,bler_delta
A,-4.0,55.69290689372186,70.34939058141997,2499.0,1799.0,1.0,1.0,0.0,1.0,28.011204481792717,0.0
A,-2.0,57.18712646436567,72.45205200985463,2499.0,1799.0,1.0,1.0,0.0,1.0,28.011204481792717,0.0
A,0.0,55.39582013623052,69.11390706174036,2498.4083333333333,1780.245,0.9991666666666666,0.9908333333333332,0.0,0.9875,28.744834211114412,-0.008333333333333415
A,2.0,53.992436927971234,54.19035231541784,2222.96,1349.1666666666667,0.8633333333333333,0.7783333333333333,0.0,0.7191666666666666,39.30764986024639,-0.08499999999999996
A,4.0,39.82900172942512,22.0048461426389,1031.5933333333332,531.2633333333333,0.37,0.33,0.0,0.2725,48.50070118069782,-0.03999999999999998
A,6.0,23.5043597228893,9.543343635474836,380.8208333333333,213.6158333333333,0.1375,0.1283333333333333,0.0,0.1141666666666666,43.90647395428734,-0.009166666666666712
C,-4.0,55.62663990773823,70.1936433952748,2499.0,1799.0,1.0,1.0,0.0,1.0,28.011204481792717,0.0
C,-2.0,54.56784159924913,67.98170133054857,2499.0,1799.0,1.0,1.0,0.0,1.0,28.011204481792717,0.0
C,0.0,55.19811632567629,68.78973698910461,2495.218333333333,1777.53,0.9983333333333332,0.99,0.0,0.9866666666666668,28.762546497267092,-0.008333333333333193
C,2.0,52.89257172989892,51.691300716556725,2221.0425,1316.9258333333332,0.8608333333333333,0.7658333333333334,0.0,0.6983333333333334,40.706860254437586,-0.09499999999999997
C,4.0,39.413997046989,20.334089480141603,947.0366666666666,476.45916666666665,0.335,0.295,0.0,0.245,49.689469960684384,-0.040000000000000036
C,6.0,22.264627809951588,8.926975256981677,335.51,200.19583333333333,0.1191666666666666,0.1158333333333333,0.0,0.1075,40.33088929291725,-0.0033333333333332993
E,-4.0,54.50574513015454,67.72978954172383,2499.0,1799.0,1.0,1.0,0.0,1.0,28.011204481792717,0.0
E,-2.0,54.41153169645986,67.95700704909298,2499.0,1799.0,1.0,1.0,0.0,1.0,28.011204481792717,0.0
E,0.0,57.25184741711322,71.4283626232888,2495.409166666667,1775.8075,0.9983333333333332,0.9908333333333332,0.0,0.9841666666666666,28.837021049654187,-0.007499999999999951
E,2.0,51.19054020828722,42.5400853103929,2010.5825,1071.4725,0.7583333333333333,0.645,0.0,0.555,46.70835441967688,-0.11333333333333329
E,4.0,32.46341768293254,7.150459295080509,389.9675,126.56833333333331,0.1141666666666666,0.1033333333333333,0.0,0.0566666666666666,67.54387651962449,-0.010833333333333292
E,6.0,13.32164996342423,0.9638158602562422,19.730833333333333,7.7875,0.005,0.0058333333333333,0.0,0.0033333333333333,60.53131731215948,0.0008333333333332997
