epoch,train_loss,train_bit_loss,train_segment_loss,train_weight_loss,train_confidence_loss,val_loss,val_bit_loss,val_segment_loss,val_weight_loss,val_confidence_loss
1,0.8858246320724488,0.5175393818855286,0.3143906125307083,0.5906283927440643,0.18858349161148072,0.6570298085212708,0.44295827460289,0.20182315516471863,0.3399764351844788,0.08767009621858597
2,0.622342109298706,0.43656492109298706,0.1935965297937393,0.2754708374738693,0.08754947376251221,0.5925480399131775,0.4370178322792053,0.18803872263431548,0.2163501979112625,0.06289249038696289
3,0.5901530815124512,0.4301620849609375,0.1834980108499527,0.22501033239364623,0.07468730573058129,0.6158646564483643,0.4327418894767761,0.18591902899742127,0.2687123870849609,0.09931045418977738
4,0.5978005296707153,0.4273553421974182,0.1793227348089218,0.2508550734758377,0.08153168493509293,0.5611916556358337,0.42871641302108765,0.17893424081802367,0.16880296897888183,0.056368925511837004
5,0.5580638609886169,0.42342909536361695,0.17647926495075225,0.17347918467521667,0.06149655058383942,0.6588631620407105,0.4279791066646576,0.1784522325992584,0.40203045058250425,0.08268096643686294
6,0.5682323996543884,0.4226037338733673,0.17499687628746033,0.1983442467689514,0.06895952351093292,0.5871716928482056,0.4427844271659851,0.19183032608032227,0.18227307951450347,0.06964463341236114
7,0.5487113131523133,0.4203185215950012,0.1743154614686966,0.16034288861751556,0.059804972979426385,0.5573512434959411,0.42227163147926333,0.17824763929843904,0.17615753531455994,0.05571155041456222
8,0.5470429439544677,0.41820738153457643,0.1726474551677704,0.16328093338012695,0.05864472862482071,0.6140331854820251,0.4281577010154724,0.18265681421756744,0.2767224416732788,0.10194731992483139
9,0.5467679738044738,0.4199690144062042,0.17344491686820984,0.1586801471710205,0.056467130517959596,0.5322220983505249,0.4192383460998535,0.17436209416389464,0.12751033741235734,0.04835488539934158
10,0.5281280255317689,0.4143963342666626,0.17004531090259553,0.13175966049432755,0.0500711702644825,0.5275912804603576,0.4194276957511902,0.17575830578804016,0.11573001456260681,0.04572039559483528
11,0.5498976730823517,0.41730418281555176,0.1733498699426651,0.17168523107767106,0.05957217115163803,0.5332944560050964,0.41909270310401914,0.17439328551292418,0.13054830455780028,0.0483221906721592
12,0.523728422164917,0.4139540930271149,0.17078827176094055,0.12213124032020568,0.04842676753401756,0.5507625021934509,0.4162810230255127,0.17448071908950805,0.18067677092552184,0.04933278061449528
