profile,snr_db,num_samples,avg_query_delta,median_query_delta,avg_latency_delta_ms,nsgrand_better_rate,baseline_better_rate,tied_block_error_rate
A,-4.0,1200,1500.0,1500.0,150.40659925332875,0.0,0.0,1.0
A,-2.0,1200,1500.0,1500.0,143.16459348350085,0.0,0.0,1.0
A,0.0,1200,1470.5966666666666,1500.0,143.16883018053582,0.004166666666666667,0.0,0.9958333333333333
A,2.0,1200,795.1358333333334,1500.0,111.62241472416402,0.1025,0.0033333333333333335,0.8941666666666667
A,4.0,1200,135.73666666666668,-4.0,30.033980363223236,0.10583333333333333,0.004166666666666667,0.89
A,6.0,1200,119.40666666666667,0.0,9.287924246527837,0.028333333333333332,0.0008333333333333334,0.9708333333333333
C,-4.0,1200,1500.0,1500.0,144.50468638351595,0.0,0.0,1.0
C,-2.0,1200,1500.0,1500.0,144.29302537588228,0.0,0.0,1.0
C,0.0,1200,1498.1158333333333,1500.0,145.56857382359644,0.0008333333333333334,0.0,0.9991666666666666
C,2.0,1200,713.2591666666667,1500.0,101.90756374645086,0.125,0.0025,0.8725
C,4.0,1200,-2.1225,-6.0,15.156665783312443,0.10083333333333333,0.0016666666666666668,0.8975
C,6.0,1200,67.71333333333334,0.0,1.4460537659033434,0.0225,0.0,0.9775
E,-4.0,1200,1500.0,1500.0,142.9468162900836,0.0,0.0,1.0
E,-2.0,1200,1500.0,1500.0,145.34594370818618,0.0,0.0,1.0
E,0.0,1200,1490.0891666666666,1500.0,144.84869262378197,0.0025,0.0,0.9975
E,2.0,1200,423.655,1500.0,90.34813285911999,0.15833333333333333,0.0033333333333333335,0.8383333333333334
E,4.0,1200,-132.43083333333334,-8.0,-9.83631214046909,0.06333333333333334,0.005833333333333334,0.9308333333333333
E,6.0,1200,-10.326666666666666,0.0,-13.588075973699839,0.004166666666666667,0.0008333333333333334,0.995
