profile,snr_db,num_samples,avg_query_delta,median_query_delta,avg_latency_delta_ms,target_better_rate,reference_better_rate,tied_block_error_rate,reference_decoder,target_decoder
A,-4.0,1200,-3999.0,-3999.0,-171.13933792764632,0.0,0.0,1.0,strong_symbolic,nsgrand
A,-2.0,1200,-3999.0,-3999.0,-187.60130887889923,0.0,0.0,1.0,strong_symbolic,nsgrand
A,0.0,1200,-3984.4166666666665,-3999.0,-186.07110740519906,0.005833333333333334,0.0,0.9941666666666666,strong_symbolic,nsgrand
A,2.0,1200,-3296.535,-3999.0,-178.3759822807042,0.14416666666666667,0.01,0.8458333333333333,strong_symbolic,nsgrand
A,4.0,1200,-1380.7908333333332,-183.0,-139.39795646001585,0.0875,0.005833333333333334,0.9066666666666666,strong_symbolic,nsgrand
A,6.0,1200,-615.5575,-0.5,-95.36654711836793,0.02666666666666667,0.0025,0.9708333333333333,strong_symbolic,nsgrand
C,-4.0,1200,-3999.0,-3999.0,-185.01549181741817,0.0,0.0,1.0,strong_symbolic,nsgrand
C,-2.0,1200,-3999.0,-3999.0,-170.5321949440986,0.0,0.0,1.0,strong_symbolic,nsgrand
C,0.0,1200,-3995.8525,-3999.0,-184.2157327537037,0.0025,0.0,0.9975,strong_symbolic,nsgrand
C,2.0,1200,-3243.2383333333332,-3999.0,-150.6615989061538,0.1375,0.015,0.8475,strong_symbolic,nsgrand
C,4.0,1200,-1190.095,-81.5,-127.37198416531707,0.08083333333333333,0.005,0.9141666666666667,strong_symbolic,nsgrand
C,6.0,1200,-433.385,0.0,-86.24193461417842,0.035,0.0016666666666666668,0.9633333333333334,strong_symbolic,nsgrand
E,-4.0,1200,-3999.0,-3999.0,-175.63976157611856,0.0,0.0,1.0,strong_symbolic,nsgrand
E,-2.0,1200,-3999.0,-3999.0,-187.61599486751948,0.0,0.0,1.0,strong_symbolic,nsgrand
E,0.0,1200,-3959.360833333333,-3999.0,-175.43804141848037,0.019166666666666665,0.0016666666666666668,0.9791666666666666,strong_symbolic,nsgrand
E,2.0,1200,-2930.0641666666666,-3994.0,-151.28283080644906,0.215,0.014166666666666666,0.7708333333333334,strong_symbolic,nsgrand
E,4.0,1200,-420.5491666666667,-13.0,-119.71314640482888,0.04666666666666667,0.010833333333333334,0.9425,strong_symbolic,nsgrand
E,6.0,1200,-24.200833333333332,0.0,-67.27596187071565,0.0025,0.0,0.9975,strong_symbolic,nsgrand
